student_id,course_id,semester,grade
23000001,2,1,B
23000001,6,1,D
23000001,31,1,A
23000001,21,1,A
23000001,12,2,C
23000001,16,2,B
23000001,15,2,C
23000001,49,3,C
23000001,30,3,B
23000001,11,3,C
23000001,17,3,B
23000001,36,4,C
23000001,19,4,A
23000001,40,4,F
23000001,8,4,B
22000001,6,1,C
22000001,34,1,C
22000001,12,2,B
22000001,48,2,A
22000001,5,2,A
22000001,20,2,B
22000001,21,3,B
22000001,15,3,A
22000001,49,3,B
22000001,14,3,A
22000001,24,4,C
22000001,40,4,C
22000001,17,4,D
22000001,32,4,F
22000001,30,5,A
22000001,36,5,B
22000001,9,5,B
22000001,38,5,A
22000001,22,6,B
22000001,26,6,A
22000001,31,6,A
22000001,7,6,A
23000002,16,1,B
23000002,22,1,B
23000002,20,1,C
23000002,12,2,A
23000002,11,2,D
23000002,10,2,A
23000002,30,3,B
23000002,33,3,B
23000002,32,3,A
23000002,25,4,C
23000002,2,4,B
23000002,19,4,B
24000001,42,1,B
24000001,49,1,B
24000001,18,1,A
24000001,39,1,F
24000001,32,1,B
24000001,36,2,F
24000001,50,2,A
24000001,35,2,B
21000001,11,1,A
21000001,50,1,B
21000001,47,1,D
21000001,49,1,C
21000001,23,2,B
21000001,30,2,B
21000001,17,2,D
21000001,29,2,B
21000001,6,3,D
21000001,28,3,C
21000001,40,3,C
21000001,4,3,B
21000001,35,4,B
21000001,31,4,B
21000001,8,4,A
21000001,39,4,B
21000001,20,5,A
21000001,32,5,B
21000001,10,5,C
21000001,44,5,A
21000001,24,6,F
21000001,22,6,C
21000001,26,6,A
21000001,45,7,F
21000001,48,7,B
21000001,37,7,C
21000001,15,7,A
21000001,43,8,F
21000001,41,8,C
21000002,43,1,A
21000002,9,1,B
21000002,22,1,B
21000002,34,2,A
21000002,12,2,A
21000002,27,2,B
21000002,4,3,B
21000002,46,3,B
21000002,33,3,B
21000002,2,4,B
21000002,42,4,B
21000002,37,4,B
21000002,45,5,A
21000002,13,5,F
21000002,48,5,C
21000002,10,6,A
21000002,39,6,A
21000002,18,6,C
21000002,41,7,B
21000002,20,7,C
21000002,24,7,A
21000002,21,8,C
21000002,7,8,A
21000002,50,8,B
24000002,45,1,F
24000002,11,1,C
24000002,39,1,C
24000002,46,1,C
24000002,41,2,C
24000002,1,2,A
24000002,5,2,B
24000002,10,2,F
21000003,31,1,C
21000003,30,1,C
21000003,11,1,B
21000003,7,1,C
21000003,15,2,C
21000003,49,2,A
21000003,17,2,C
21000003,47,2,C
21000003,5,3,D
21000003,6,3,A
21000003,33,3,C
21000003,21,3,A
21000003,41,4,F
21000003,37,4,A
21000003,9,4,A
21000003,13,4,A
21000003,10,5,A
21000003,44,5,C
21000003,46,5,B
21000003,40,5,C
21000003,12,6,F
21000003,38,6,D
21000003,25,6,C
21000003,36,6,A
21000003,28,7,A
21000003,16,8,A
21000003,26,8,A
21000003,18,8,B
21000003,35,8,B
24000003,24,1,B
24000003,13,1,A
24000003,37,1,D
24000003,35,1,B
24000003,28,1,B
24000003,39,2,C
24000003,27,2,C
24000003,45,2,C
24000003,19,2,C
24000003,16,2,C
21000004,18,1,A
21000004,41,1,A
21000004,15,1,B
21000004,16,2,A
21000004,17,2,F
21000004,46,2,B
21000004,2,2,B
21000004,38,3,A
21000004,34,3,C
21000004,6,3,A
21000004,7,3,B
21000004,50,4,F
21000004,23,4,C
21000004,29,4,A
21000004,9,4,A
21000004,40,5,C
21000004,4,5,B
21000004,11,5,F
21000004,26,5,C
21000004,39,6,F
21000004,1,6,C
21000004,20,6,A
21000004,13,6,A
21000004,5,7,C
21000004,22,7,A
21000004,24,7,B
21000004,45,7,A
21000004,37,8,B
21000004,14,8,A
21000005,9,1,B
21000005,3,1,F
21000005,18,1,C
21000005,22,1,A
21000005,44,2,C
21000005,28,2,C
21000005,38,2,A
21000005,2,2,C
21000005,46,3,B
21000005,8,3,C
21000005,20,3,A
21000005,32,3,B
21000005,24,4,C
21000005,13,4,A
21000005,10,4,C
21000005,21,4,A
21000005,27,5,B
21000005,6,5,F
21000005,36,5,B
21000005,16,5,F
21000005,34,6,D
21000005,37,6,B
21000005,45,6,A
21000005,1,6,F
21000005,41,7,A
21000005,31,7,B
21000005,15,7,D
21000005,14,7,A
21000005,12,8,B
21000005,11,8,B
21000005,47,8,C
21000005,26,8,F
23000003,22,1,D
23000003,13,1,A
23000003,14,1,D
23000003,35,2,A
23000003,47,2,D
23000003,43,2,F
23000003,19,3,B
23000003,2,3,B
23000003,5,3,F
23000003,27,4,F
23000003,25,4,F
23000003,18,4,D
21000006,6,1,A
21000006,41,1,B
21000006,14,1,A
21000006,42,1,F
21000006,39,2,B
21000006,26,2,F
21000006,5,2,B
21000006,46,2,B
21000006,18,3,F
21000006,17,3,D
21000006,21,3,B
21000006,28,4,A
21000006,30,4,A
21000006,45,4,A
21000006,15,4,B
21000006,4,5,A
21000006,12,5,A
21000006,40,5,C
21000006,11,5,C
21000006,47,6,B
21000006,49,6,C
21000006,36,6,A
21000006,22,6,D
21000006,38,7,D
21000006,24,7,C
21000006,37,7,B
21000006,19,8,A
21000006,27,8,B
21000006,9,8,A
24000004,16,1,A
24000004,35,1,B
24000004,4,1,A
24000004,32,1,A
24000004,43,2,A
24000004,6,2,C
24000004,23,2,F
24000004,31,2,B
21000007,37,1,C
21000007,4,1,A
21000007,44,1,C
21000007,17,1,C
21000007,24,2,A
21000007,12,2,A
21000007,19,2,B
21000007,39,2,B
21000007,40,3,B
21000007,26,3,D
21000007,32,3,C
21000007,42,3,A
21000007,3,4,A
21000007,38,4,D
21000007,48,4,A
21000007,15,4,B
21000007,30,5,A
21000007,28,5,A
21000007,47,5,A
21000007,43,5,C
21000007,20,6,B
21000007,14,6,B
21000007,41,6,B
21000007,9,7,B
21000007,29,7,B
21000007,21,7,B
21000007,34,7,A
21000007,50,8,A
21000007,45,8,C
21000007,27,8,D
